Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address
04/15/2019,MAZD,4T,,WHI,AQ37430,IL,701 N. Sacramento
04/15/2019,MERZ,2D,,COM,660U866,IL,701 N. Sacramento
04/15/2019,MERZ,4D,,SIL,BE89051,IL,10300 S. Doty
04/15/2019,NISS,4D,,TAN,828064,IL,10300 S. Doty
04/15/2019,NISS,4D,,WHI,AP19361,IL,10300 S. Doty
04/15/2019,PONT,4D,,GRY,BE24625,IL,701 N. Sacramento
04/15/2019,PONT,4D,,SIL,AW24841,IL,701 N. Sacramento
04/15/2019,PONT,LL,,BLU,373899,IL,400 E. Lower Wacker
04/15/2019,TOYT,4D,,TAN,,IL,701 N. Sacramento
04/15/2019,TOYT,4D,,TAN,,IL,10300 S. Doty
04/15/2019,TOYT,4D,,BLK,,IL,10300 S. Doty
04/15/2019,TOYT,4D,,GRN,BE87833,IL,701 N. Sacramento
04/15/2019,TOYT,4D,,WHI,705U281,IL,10300 S. Doty
04/15/2019,TOYT,VN,,BLU,BB79615,IL,10300 S. Doty
04/15/2019,VOLV,4D,,RED,,IL,10300 S. Doty
04/15/2019,ZCZY,LL,,BLK,,IL,10300 S. Doty
04/15/2019,,UT,,BLK,,,10300 S. Doty
04/15/2019,,,,WHI,,,10300 S. Doty
04/14/2019,ACUR,2H,,WHI,,,701 N. Sacramento
04/14/2019,AUDI,4D,,WHI,,,701 N. Sacramento
04/14/2019,BMW,4D,,WHI,Z874378,IL,10300 S. Doty
04/14/2019,BMW,4D,,LBL,BB86227,IL,701 N. Sacramento
04/14/2019,BMW,4D,,BLK,AN84131,IL,10300 S. Doty
04/14/2019,BMW,LL,,WHI,867T101,IL,701 N. Sacramento
04/14/2019,BUIC,4D,,TAN,Q465392,IL,10300 S. Doty
04/14/2019,BUIC,4D,,TAN,E359824,IL,701 N. Sacramento
04/14/2019,BUIC,4T,,WHI,,IL,10300 S. Doty
04/14/2019,BUIC,4T,,BLU,,IL,10300 S. Doty
04/14/2019,BUIC,4T,,BRO,AL49571,IL,701 N. Sacramento
04/14/2019,CADI,4D,,CRM,630U913,IL,701 N. Sacramento
04/14/2019,CADI,4D,,BLK,405U916,IL,701 N. Sacramento
04/14/2019,CADI,4D,,SIL,E381043,IL,10300 S. Doty
04/14/2019,CHEV,2T,,BLK,Z362177,IL,701 N. Sacramento
04/14/2019,CHEV,4D,,WHI,E217474,IL,10300 S. Doty
04/14/2019,CHEV,4D,,WHI,K265557,IN,400 E. Lower Wacker
04/14/2019,CHEV,4D,,SIL,,,10300 S. Doty
04/14/2019,CHEV,4D,,BLU,H763230,IL,701 N. Sacramento
04/14/2019,CHEV,4D,,BLK,AH41977,IL,10300 S. Doty
04/14/2019,CHEV,4T,,RED,,IL,10300 S. Doty
04/14/2019,CHEV,4T,,BLK,Y987761,IL,701 N. Sacramento
04/14/2019,CHEV,4T,,GRN,AX28613,IL,701 N. Sacramento
04/14/2019,CHEV,LL,,BLK,695U705,IL,10300 S. Doty
04/14/2019,CHEV,LL,,GRY,,IL,10300 S. Doty
04/14/2019,CHEV,VN,TK,BLU,E991968,IL,10300 S. Doty
04/14/2019,CHRY,4D,,SIL,V599390,IL,10300 S. Doty
04/14/2019,CHRY,4T,,BLU,N565434,IL,701 N. Sacramento
04/14/2019,DODG,4D,,BLK,557U307,IL,10300 S. Doty
04/14/2019,DODG,4D,,SIL,1852087B,IL,701 N. Sacramento
04/14/2019,DODG,LL,,SIL,,IL,701 N. Sacramento
04/14/2019,FORD,2T,,RED,,IL,10300 S. Doty
04/14/2019,FORD,4D,,WHI,,IL,701 N. Sacramento
04/14/2019,FORD,4D,,LBL,BB93704,IL,701 N. Sacramento
04/14/2019,FORD,4D,,GRY,AS43233,IL,701 N. Sacramento
04/14/2019,FORD,4D,,GLD,H139229,IL,10300 S. Doty
04/14/2019,FORD,4D,,SIL,BE89665,IL,10300 S. Doty
04/14/2019,FORD,4D,,RED,Q434115,IL,701 N. Sacramento
04/14/2019,FORD,4D,,BLU,4BR483,MN,400 E. Lower Wacker
04/14/2019,FORD,4D,,SIL,BB25870,IL,10300 S. Doty
04/14/2019,FORD,4T,,SIL,K265024,IN,10300 S. Doty
04/14/2019,FORD,LL,,BLK,S457554,IL,10300 S. Doty
04/14/2019,FORD,LL,,SIL,Q727116,IL,10300 S. Doty
04/14/2019,FORD,LL,,BLK,ZX27887,IL,10300 S. Doty
04/14/2019,FORD,PK,,RED,2411677B,IL,10300 S. Doty
04/14/2019,FORD,VN,,WHI,2518798B,IL,10300 S. Doty
04/14/2019,GMC,VN,,WHI,BE22556,IL,701 N. Sacramento
04/14/2019,HOND,4D,,GRY,170329,IL,701 N. Sacramento
04/14/2019,HOND,4D,,BLU,AD50208,IL,701 N. Sacramento
04/14/2019,HOND,4D,,SIL,DL5939F,IL,10300 S. Doty
04/14/2019,HOND,LL,TK,BLK,AJ37391,IL,10300 S. Doty
04/14/2019,HYUN,4D,,BLU,AU56236,IL,10300 S. Doty
04/14/2019,HYUN,4D,,BLK,278A88,NV,10300 S. Doty
04/14/2019,HYUN,4D,,SIL,Z981387,IL,10300 S. Doty
04/14/2019,HYUN,4D,,SIL,K274647,IN,10300 S. Doty
04/14/2019,HYUN,4D,,BLK,590U190,IL,10300 S. Doty
04/14/2019,HYUN,LL,,GRY,,,701 N. Sacramento
04/14/2019,JEEP,LL,,TAN,636U909,IL,701 N. Sacramento
04/14/2019,JEEP,LL,,BLK,TAY715,MS,10300 S. Doty
04/14/2019,JEEP,LL,TK,SIL,AD36636,IL,10300 S. Doty
04/14/2019,JEEP,LL,,BLK,GVF9254,NM,701 N. Sacramento
04/14/2019,JEEP,LL,TK,GRN,347VYN,WI,701 N. Sacramento
04/14/2019,KIA,4T,,WHI,Q192611,IL,701 N. Sacramento
04/14/2019,LEXS,4D,,GRY,AB54559,IL,701 N. Sacramento
04/14/2019,LEXS,4D,,BLK,BC52478,IL,10300 S. Doty
04/14/2019,LEXS,4T,,BLK,AC59742,IL,701 N. Sacramento
04/14/2019,MAZD,4D,,BLU,BC50828,IL,701 N. Sacramento
04/14/2019,MAZD,4D,,BLU,H495581,IL,701 N. Sacramento
04/14/2019,MERZ,2D,,BLK,AP70550,IL,10300 S. Doty
04/14/2019,MERZ,4D,,RED,AN15500,IL,10300 S. Doty
04/14/2019,MERZ,LL,,GRY,E646396,IL,10300 S. Doty
04/14/2019,NISS,4D,,WHI,BD25818,IL,701 N. Sacramento
04/14/2019,NISS,4D,,SIL,Y761931,IL,10300 S. Doty
04/14/2019,NISS,4D,,WHI,,,10300 S. Doty
04/14/2019,NISS,4D,,BLK,502CEU,ND,701 N. Sacramento
04/14/2019,NISS,4D,,WHI,BH42762,IL,701 N. Sacramento
04/14/2019,NISS,4D,,BLK,664U730,IL,701 N. Sacramento
04/14/2019,NISS,4T,,SIL,365927,IL,10300 S. Doty
04/14/2019,NISS,LL,TK,BLK,BA75680,IL,701 N. Sacramento
04/14/2019,OLDS,VN,,TAN,BF20927,IL,10300 S. Doty
04/14/2019,PONT,LL,,GRY,712846,IL,10300 S. Doty
04/14/2019,PONT,VN,TK,RED,596U553,IL,10300 S. Doty
04/14/2019,SATR,LL,,BLK,,,10300 S. Doty
04/14/2019,SUBA,LL,,WHI,BK78755,IL,400 E. Lower Wacker
04/14/2019,TOYT,4D,,GRY,109U304,IL,10300 S. Doty
04/14/2019,TOYT,4D,,SIL,AR70255,IL,701 N. Sacramento
04/14/2019,TOYT,4D,,SIL,AW29193,IL,701 N. Sacramento
04/14/2019,TOYT,4D,,WHI,500U307,IL,10300 S. Doty
04/14/2019,TOYT,4T,,BLK,AE30988,IL,10300 S. Doty
04/14/2019,TOYT,4T,,BLK,V791921,IL,10300 S. Doty
04/14/2019,TOYT,LL,,RED,AU39537,IL,701 N. Sacramento
04/14/2019,VOLK,LL,,WHI,AS48664,IL,701 N. Sacramento
04/14/2019,,4D,,GRY,1257216B,IL,10300 S. Doty
04/13/2019,ACUR,4D,,WHI,V642300,IL,10300 S. Doty
04/13/2019,ACUR,4D,,SIL,BK51977,IL,701 N. Sacramento
